book,category_path,filename,ext,usage,size_bytes,size_mb,width,height,orientation,size_bucket,suggested_role,subject_hits,relative_path,status,art_tag,notes
5 Parsecs Core Rulebook,,5PFH Title.psd,psd,source,6281392,5.99,,,,,uncategorized,,5 Parsecs Core Rulebook/5PFH Title.psd,untriaged,,
5 Parsecs Core Rulebook,,5PFH_Title_Red.psd,psd,source,6286189,5.99,,,,,uncategorized,,5 Parsecs Core Rulebook/5PFH_Title_Red.psd,untriaged,,
5 Parsecs Core Rulebook,,Nordic Weasel Logo white text.png,png,ingame,156260,0.15,1008,1000,square,icon,uncategorized,,5 Parsecs Core Rulebook/Nordic Weasel Logo white text.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads,5PFH Ad background 300rgb.png,png,ingame,5377317,5.13,1961,2882,portrait,fullpage,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/5PFH Ad background 300rgb.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads,Corporate Security.png,png,ingame,4549276,4.34,4008,4008,square,fullpage,marketing_ignore,species:rat;species:security,5 Parsecs Core Rulebook/Art/png/Ads/Corporate Security.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads,Crew Box 1 Group.png,png,ingame,4238372,4.04,4008,4008,square,fullpage,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/Crew Box 1 Group.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads,Dishonoured_Rear Endpapers_001w-2.png,png,ingame,4003650,3.82,1843,2764,portrait,fullpage,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/Dishonoured_Rear Endpapers_001w-2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads,STA Portrait Advert_Royale EDIT_001w.png,png,ingame,3989470,3.8,1913,2835,portrait,fullpage,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/STA Portrait Advert_Royale EDIT_001w.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads,Soulless Group.png,png,ingame,3298483,3.15,3597,3597,square,fullpage,marketing_ignore,species:soulless,5 Parsecs Core Rulebook/Art/png/Ads/Soulless Group.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads,Spider Attack COVER REV_300.png,png,ingame,33709228,32.15,6903,4402,landscape,scene_landscape,marketing_ignore,tag:battle_action;revision;cover_art,5 Parsecs Core Rulebook/Art/png/Ads/Spider Attack COVER REV_300.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads,Spider Attack_rev.png,png,ingame,23543298,22.45,6000,3375,landscape,scene_landscape,marketing_ignore,tag:battle_action;revision,5 Parsecs Core Rulebook/Art/png/Ads/Spider Attack_rev.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads,Spider Layer.png,png,ingame,10884788,10.38,3803,2882,landscape,scene_landscape,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/Spider Layer.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads/3D Book Covers,5LFB_3D_Book_ViaMod.png,png,ingame,6286031,5.99,6000,4000,landscape,scene_landscape,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/3D Book Covers/5LFB_3D_Book_ViaMod.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads/3D Book Covers,5PFH_3D_Book_ViaMod_Tactics.png,png,ingame,5732251,5.47,6000,4000,landscape,scene_landscape,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/3D Book Covers/5PFH_3D_Book_ViaMod_Tactics.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads/3D Book Covers,Battlespace Render Transparent.png,png,ingame,3902020,3.72,1911,2714,portrait,fullpage,marketing_ignore,tag:space_travel,5 Parsecs Core Rulebook/Art/png/Ads/3D Book Covers/Battlespace Render Transparent.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads/3D Book Covers,Country Road Z Render.png,png,ingame,6125649,5.84,1777,2907,portrait,fullpage,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/3D Book Covers/Country Road Z Render.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads/3D Book Covers,Five Parsecs Compendium Render Transparent.png,png,ingame,4813798,4.59,1755,2896,portrait,fullpage,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/3D Book Covers/Five Parsecs Compendium Render Transparent.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Ads/3D Book Covers,Shadow Deep Render.png,png,ingame,6017286,5.74,1844,2907,portrait,fullpage,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Ads/3D Book Covers/Shadow Deep Render.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Engineeer.png,png,ingame,19404834,18.51,4000,5548,portrait,fullpage,portrait,,5 Parsecs Core Rulebook/Art/png/Characters/Engineeer.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Ferals.png,png,ingame,5457141,5.2,2037,2676,portrait,fullpage,portrait,species:feral,5 Parsecs Core Rulebook/Art/png/Characters/Ferals.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Fringe2.png,png,ingame,4258941,4.06,3923,4988,portrait,fullpage,portrait,species:fringe,5 Parsecs Core Rulebook/Art/png/Characters/Fringe2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,HULKER 2.png,png,ingame,1203947,1.15,1920,1120,landscape,scene_landscape,portrait,species:hulker,5 Parsecs Core Rulebook/Art/png/Characters/HULKER 2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,K_erin for Cloud.png,png,ingame,5134488,4.9,1838,2772,portrait,fullpage,portrait,species:k_erin,5 Parsecs Core Rulebook/Art/png/Characters/K_erin for Cloud.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Krag.png,png,ingame,376165,0.36,1472,1242,landscape,misc,portrait,species:krag,5 Parsecs Core Rulebook/Art/png/Characters/Krag.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Mercenary.png,png,ingame,3286672,3.13,1438,2361,portrait,misc,portrait,species:mercenary,5 Parsecs Core Rulebook/Art/png/Characters/Mercenary.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,"Oct 19, 2020 at 12_59_37 PM.png",png,ingame,1367293,1.3,1044,1327,portrait,misc,portrait,,"5 Parsecs Core Rulebook/Art/png/Characters/Oct 19, 2020 at 12_59_37 PM.png",untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Precursor .png,png,ingame,16772840,16.0,4000,4894,portrait,fullpage,portrait,species:precursor,5 Parsecs Core Rulebook/Art/png/Characters/Precursor .png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Precursor.png,png,ingame,16773047,16.0,4000,4894,portrait,fullpage,portrait,species:precursor,5 Parsecs Core Rulebook/Art/png/Characters/Precursor.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Psionic Concept_1.png,png,ingame,4480283,4.27,3499,4000,portrait,fullpage,portrait,species:psionic;concept_sheet,5 Parsecs Core Rulebook/Art/png/Characters/Psionic Concept_1.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Rat Concept_1.png,png,ingame,6857235,6.54,3635,4000,square,fullpage,portrait,species:rat;concept_sheet,5 Parsecs Core Rulebook/Art/png/Characters/Rat Concept_1.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,STALKER.png,png,ingame,5594079,5.33,6000,3500,landscape,scene_landscape,portrait,species:stalker,5 Parsecs Core Rulebook/Art/png/Characters/STALKER.png,untriaged,,
